1500
'011084',1938,9,77.1,61.8 
'011084',1938,10,66.6,48.5 
'011084',1938,11,59.2,43.9 
'011084',1938,12,49.9,35.2 
'011084',1939,1,53.1,39.4 
'011084',1939,2,58.4,45.6 
'011084',1939,3,60.7,46.4 
'011084',1939,4,65.1,51 
'011084',1939,5,72.6,59.8 
'011084',1939,6,81,68.6 
'011084',1939,7,82.3,69.8 
'011084',1939,8,79.1,67.3 
'011084',1939,9,77.5,66.7 
'011084',1939,10,68.2,52.9 
'011084',1939,11,53.3,36.8 
'011084',1939,12,52.8,37.6 
'011084',1940,1,39.5,26.6 
'011084',1940,2,51,40.1 
'011084',1940,3,59.9,45.8 
'011084',1940,4,67,55.4 
'011084',1940,5,72.8,57.3 
'011084',1940,6,79.5,66.7 
'011084',1940,7,82.7,71.6 
'011084',1940,8,83.5,70.9 
'011084',1940,9,75.7,61.3 
'011084',1940,10,68.4,51.8 
'011084',1940,11,58.7,45.2 
'011084',1940,12,55.4,43.7 
'011084',1941,1,51.7,37.3 
'011084',1941,2,48.7,36.3 
'011084',1941,3,55.3,43.1 
'011084',1941,4,66.8,51.5 
'011084',1941,5,73.8,57.1 
'011084',1941,6,79.9,67.1 
'011084',1941,7,82.1,72 
'011084',1941,8,83.3,72.2 
'011084',1941,9,79.7,68.9 
'011084',1941,10,74.1,60.7 
'011084',1941,11,57.8,43.4 
'011084',1941,12,53.5,40.2 
'011084',1942,1,47.5,32.5 
'011084',1942,2,49.7,37.7 
'011084',1942,3,56.2,43.6 
'011084',1942,4,63,46.4 
'011084',1942,5,72.6,57.8 
'011084',1942,6,81,70.3 
'011084',1942,7,82.6,71.9 
'011084',1942,8,81,70.5 
'011084',1942,9,76,64.3 
'011084',1942,10,67.9,52.5 
'011084',1942,11,59.3,43.5 
'011084',1942,12,53.8,40.8 
'011084',1943,1,53.3,41 
'011084',1943,2,55,39.1 
'011084',1943,3,58.2,44.5 
'011084',1943,4,65.9,51.1 
'011084',1943,5,76.6,62.2 
'011084',1943,6,82.7,69.7 
'011084',1943,7,83.6,72 
'011084',1943,8,83.7,71.7 
'011084',1943,9,75.3,63.4 
'011084',1943,10,64.5,48.1 
'011084',1943,11,54.6,37.3 
'011084',1943,12,51.1,39.2 
'011084',1944,1,49.7,37 
'011084',1944,2,61.3,50.2 
'011084',1944,3,61,48.6 
'011084',1944,4,65.8,54.2 
'011084',1944,5,75.1,61.4 
'011084',1944,6,82.5,69.7 
'011084',1944,7,81.7,69.9 
'011084',1944,8,81.9,71.7 
'011084',1944,9,78.9,67.8 
'011084',1944,10,67.7,53.2 
'011084',1944,11,58.3,44.5 
'011084',1944,12,51,38.8 
